time,cpuUsage,packetsReceived,packetsSent
1649757674.6339023,18.9,435447,131056
1649757675.635628,37.4,435482,131100
1649757676.6379697,22.6,435517,131131
1649757677.63947,24.2,435533,131153
1649757678.6410155,25.9,435574,131186
1649757679.64272,33.5,435592,131203
1649757680.6444592,21.0,435611,131219
1649757681.6471946,35.9,435652,131250
1649757682.6492414,42.9,435718,131301
1649757683.6511283,58.1,435729,131312
1649757684.653145,24.6,435733,131316
1649757685.6551218,9.5,435737,131320
1649757686.6572762,9.0,435751,131336
1649757687.6593845,19.1,435761,131346
1649757688.661499,22.4,435764,131349
1649757689.663386,14.9,435770,131356
1649757690.6650624,14.8,435786,131373
1649757691.6664658,35.2,435915,131420
1649757692.667049,21.7,436013,131469
1649757693.6688633,3.0,436029,131485
1649757694.6708536,2.4,436043,131499
1649757695.6730585,2.9,436048,131504
1649757696.675291,3.2,436050,131506
1649757697.6774478,8.2,436070,131526
1649757698.6794803,17.7,436080,131536
1649757699.6815689,7.6,436091,131548
1649757700.6830664,7.6,436101,131558
1649757701.6852055,12.8,436104,131561
1649757702.6871967,10.0,436122,131579
1649757703.6886883,12.9,436127,131584
1649757704.6907136,3.4,436133,131587
1649757705.6930742,15.6,436134,131588
1649757706.6947699,16.5,436139,131594
1649757707.6966968,7.2,436157,131615
1649757708.697889,5.0,436161,131616
1649757709.699926,8.1,436162,131618
1649757710.7017033,6.1,436165,131621
1649757711.7036462,4.0,436171,131627
1649757712.705861,16.9,436190,131646
1649757713.7075453,8.1,436197,131653
1649757714.709458,6.9,436204,131660
1649757715.7109616,11.2,436211,131667
1649757716.7129292,23.7,436214,131670
1649757717.7145734,21.0,436222,131678
1649757718.7161458,28.3,436232,131688
1649757719.7179875,46.9,436243,131699
1649757720.7204547,39.9,436245,131703
1649757721.7213206,21.8,436257,131719
1649757722.7226973,10.4,436270,131732
1649757723.7247164,16.3,436276,131739
1649757724.726525,16.0,436403,131992
1649757725.7280638,14.3,437700,134954
1649757726.7297971,18.4,439632,140167
1649757727.7317753,21.9,441751,145359
1649757728.7339494,7.1,441751,145359
1649757729.7362432,13.7,441754,145361
1649757730.7380939,5.1,441754,145361
1649757731.7401414,9.2,441755,145362
1649757732.7420306,3.0,441761,145368
1649757733.744298,1.1,441767,145374
